IRASPSC,RA_IRAS,DEC_IRAS,ID_SIM,sample,JCMT,mapping,APEX,gp,flag,RA,DEC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,chem,DIST_BEST_TYPE,DIST_BEST,EDIST_BEST,GRAMS_lum_used,GRAMS_DPR_used,Lcom,dLcom,dLcom_D,MLRcom,dMLRcom,dMLRcom_D,HIP,Teff,Lum,Est. log(g),Av,errAv,XS_MIR,d,delta d / d,Data,Ndup(2-1),Ndup(3-2),F_cont,F_cont_per_beam,F_CO,F_CO_per_beam
"IRAS 13581-5930",210.41500,-59.742900,"IRAS 13581-5930","extreme",0,0,1,0,"--",14.000000,-59.000000,0.070000000,0.070000000,90,"B","I",2003.0000,"O","LUM",1.4039100,"nan",6503.4500,4.3589100e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,10.879000,0.012087800,2803.2100,3.1146700
"IRAS 14119-6453",213.95100,-65.130400,"IRAS 14119-6453","extreme",0,0,1,0,"--",14.000000,-65.000000,20.000000,5.0000000,123,"E","M",1988.0000,"O","LUM",2.2776100,"nan",10985.600,1.2441300e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0.90446700,0.0010049600,236.57000,0.26285600
"IRAS 14531-5337",224.18900,-53.828400,"IRAS 14531-5337","extreme",0,0,1,0,"--",14.000000,-53.000000,16.000000,4.0000000,112,"E","M",1988.0000,"O","LUM",1.2471000,"nan",4472.1400,1.8073100e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,5.1074000,0.0056748900,1235.1400,1.3723800
"IRAS 14562-5406",224.97400,-54.303000,"Hen 2-113","extreme",0,0,1,0,"--",14.000000,-54.000000,0.049000000,0.048000000,104,"A","O",2007.0000,"O","LUM",1.3734300,"nan",1161.5900,1.2558600e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,1.7717200,0.0019685800,657.95500,0.73106200
"IRAS 15099-5509",228.42500,-55.344600,"RAFGL 4212","extreme",0,0,1,0,"--",15.000000,-55.000000,0.060000000,0.060000000,90,"B","N",2003.0000,"O","LUM",0.87737500,"nan",6034.1800,1.3356300e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,7.2887900,0.0080986600,1735.9300,1.9288100
"IRAS 15373-5308",235.28100,-53.304100,"IRAS 15373-5308","extreme",0,0,1,0,"--",15.000000,-53.000000,0.060000000,0.060000000,90,"B","I",2003.0000,"O","LUM",2.3792300,"nan",3850.0200,4.0011700e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,3.2587800,0.0036208700,880.70700,0.97856400
"IRAS 15432-5200",236.74500,-52.158200,"IRAS 15432-5200","extreme",0,0,1,0,"--",15.000000,-52.000000,23.000000,3.0000000,108,"E","M",1988.0000,"O","LUM",2.1640400,"nan",5598.7700,1.0700000e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0.94010100,0.0010445600,218.71500,0.24301600
"IRAS 15468-5018",237.63500,-50.467400,"IRAS 15468-5018","extreme",0,0,1,0,"--",15.000000,-50.000000,20.000000,4.0000000,107,"E","M",1988.0000,"O","LUM",2.1654300,"nan",10192.900,1.2248600e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,1.1060800,0.0012289800,256.85900,0.28539900
"IRAS 16029-3041",241.53500,-30.826100,"GRS G345.00 +15.70","extreme",1,0,0,0,"--",16.000000,-30.000000,0.060000000,0.060000000,90,"B","N",2003.0000,"O","LUM",1.2402900,"nan",8774.9900,3.4458300e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,9.0037900,0.010004200,2708.8600,3.0098400
"IRAS 16055-4621",242.28900,-46.488400,"IRAS 16055-4621","extreme",0,0,1,0,"--",16.000000,-46.000000,16.000000,4.0000000,101,"E","M",1988.0000,"O","LUM",2.1727900,"nan",4472.1400,1.9789100e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,1.2182100,0.0013535700,453.68600,0.50409600
"IRAS 16105-4205",243.51100,-42.217500,"OH 338.1 +6.4","extreme",0,0,1,0,"--",16.000000,-42.000000,0.090000000,0.090000000,163,"B","N",2003.0000,"O","LUM",0.62133400,"nan",8141.8100,8.6400000e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,103.41000,0.11490000,32526.700,36.140800
"IRAS 16263-5533",247.61400,-55.667200,"IRAS 16263-5533","extreme",0,0,1,0,"--",16.000000,-55.000000,16.000000,3.0000000,153,"E","M",1988.0000,"O","LUM",1.9950600,"nan",7554.3200,2.3725600e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,1.9306700,0.0021451900,669.00400,0.74333800
"IRAS 16280-4154",247.88500,-42.022100,"IRAS 16280-4154","extreme",0,0,1,0,"--",16.000000,-42.000000,0.080000000,0.070000000,0,"B","I",2003.0000,"O","LUM",2.3347900,"nan",4472.1400,2.2591400e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,1.7665700,0.0019628600,460.59200,0.51176900
"IRAS 16279-5342",247.98800,-53.813300,"IRAS 16279-5342","extreme",0,0,1,0,"--",16.000000,-53.000000,13.000000,4.0000000,95,"E","M",1988.0000,"O","LUM",2.3285500,"nan",8774.9900,1.6106500e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,1.5048200,0.0016720200,308.53900,0.34282100
"IRAS 16545-4012",254.50400,-40.285900,"IRAS 16545-4012","extreme",0,0,1,0,"--",16.000000,-40.000000,17.000000,7.0000000,131,"E","F",1988.0000,"O","LUM",1.6597800,"nan",1077.7700,1.7648200e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,1.3818900,0.0015354300,677.67200,0.75296900
"IRAS 16557-4002",254.79900,-40.113400,"IRAS 16557-4002","extreme",0,0,1,0,"--",16.000000,-40.000000,29.000000,7.0000000,100,"E","M",1988.0000,"O","LUM",1.8978700,"nan",1077.7700,1.8145600e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,1.2428500,0.0013809400,535.88600,0.59542900
"IRAS 16573-4619",255.26300,-46.399100,"IRAS 16573-4619","extreme",0,0,1,0,"--",17.000000,-46.000000,0.0000000,0.0000000,0,"D","",0.0000000,"O","LUM",2.4453300,"nan",1077.7700,2.1169800e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0.86360800,0.00095956500,388.38700,0.43154200
"IRAS 16589-3315",255.54400,-33.325300,"IRAS 16589-3315","extreme",1,0,0,0,"--",17.000000,-33.000000,41.000000,6.0000000,98,"E","M",1988.0000,"O","LUM",1.9694200,"nan",8141.8100,1.2933700e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,1.4493200,0.0016103500,331.49000,0.36832200
"IRAS 16594-4656",255.79100,-47.007800,"NAME WATER LILY NEBULA","extreme",0,0,1,0,"--",17.000000,-47.000000,0.060000000,0.060000000,90,"B","I",2003.0000,"O","LUM",1.6947200,"nan",1000.0000,1.1652400e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,1.0017600,0.0011130700,394.98700,0.43887400
"IRAS 17010-3840",256.11800,-38.739700,"IRAS 17010-3840","extreme",1,0,1,0,"--",17.000000,-38.000000,0.0000000,0.0000000,0,"D","",0.0000000,"O","LUM",1.9394600,"nan",8774.9900,3.7278800e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,3.3111200,0.0036790200,1217.5100,1.3527900
"IRAS 17076-4702",257.84500,-47.103900,"IRAS 17076-4702","extreme",0,0,1,0,"--",17.000000,-47.000000,0.0000000,0.0000000,0,"D","",0.0000000,"O","LUM",2.4247000,"nan",15975.400,1.1646300e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,1.1522000,0.0012802200,192.83700,0.21426300
"IRAS 17088-4221",258.09500,-42.419800,"OH 345.1 -1.9","extreme",0,0,1,0,"--",17.000000,-42.000000,0.44000000,0.44000000,90,"C","R",1997.0000,"O","LUM",2.0305000,"nan",1000.0000,1.4565600e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0.85269600,0.00094744000,359.64000,0.39960000
"IRAS 17103-3702",258.43700,-37.103700,"NGC 6302","extreme",0,0,0,1,"--",17.000000,-37.000000,0.50000000,0.50000000,90,"C","R",1997.0000,"O","LUM",1.3816100,"nan",3314.4500,5.3035000e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,11.626700,0.012918600,3662.5600,4.0695100
"IRAS 17121-3915",258.89600,-39.308500,"IRAS 17121-3915","extreme",0,0,0,1,"--",17.000000,-39.000000,0.060000000,0.060000000,90,"B","I",2003.0000,"O","LUM",2.4356700,"nan",1000.0000,1.7478700e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0.70015000,0.00077794400,311.06700,0.34563000
"IRAS 17128-3748",259.07000,-37.868400,"V* V1013 Sco","extreme",0,0,0,1,"--",17.000000,-37.000000,1.4800000,1.4800000,90,"D","R",1997.0000,"O","LUM",2.0094700,"nan",1000.0000,1.1652400e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0.71251600,0.00079168500,280.94100,0.31215700
"IRAS 17150-3224",259.58400,-32.456500,"NAME COTTON CANDY NEBULA","extreme",1,0,0,0,"--",17.000000,-32.000000,0.060000000,0.060000000,90,"B","I",2003.0000,"O","LUM",1.5086300,"nan",8774.9900,8.6326700e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,22.597600,0.025108500,5511.7400,6.1241600
"IRAS 17163-3907",259.95200,-39.177000,"Hen 3-1379","extreme",0,0,0,1,"YHG?",17.000000,-39.000000,0.017000000,0.017000000,90,"B","",2003.0000,"O","LUM",0.42501300,"nan",4149.4400,1.1868100e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,36.425400,0.040472700,6419.9700,7.1333000
"IRAS 17205-3418",260.96400,-34.349600,"IRAS 17205-3418","extreme",0,0,0,1,"--",17.000000,-34.000000,0.11000000,0.11000000,90,"B","I",2003.0000,"O","LUM",2.2312900,"nan",1251.9200,2.0700000e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0.84886300,0.00094318100,454.05100,0.50450100
"IRAS 17239-2812",261.77300,-28.258400,"IRAS 17239-2812","extreme",1,0,0,0,"--",17.000000,-28.000000,0.060000000,0.060000000,90,"B","N",2003.0000,"O","LUM",1.5509500,"nan",3572.2200,1.1148200e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,1.1371800,0.0012635300,447.22900,0.49692100
"IRAS 17251-3505",262.11500,-35.125500,"PN H 1-13","extreme",0,0,0,1,"--",17.000000,-35.000000,0.0000000,0.0000000,0,"B","I",2006.0000,"O","LUM",2.2164800,"nan",1000.0000,1.7478700e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0.84547100,0.00093941200,375.63300,0.41737000
"IRAS 17271-3425",262.61700,-34.462800,"V* V1016 Sco","extreme",0,0,0,1,"--",17.000000,-34.000000,0.0000000,0.0000000,0,"D","O",2003.0000,"O","LUM",2.3590400,"nan",6034.1800,2.8900000e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,1.3990500,0.0015545000,606.33400,0.67370500
"IRAS 17317-3331",263.75900,-33.558400,"V* V1018 Sco","extreme",0,0,0,1,"--",17.000000,-33.000000,0.11000000,0.11000000,90,"B","",2003.0000,"O","LUM",1.2842500,"nan",1000.0000,2.0391800e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,2.9051400,0.0032279400,1346.2600,1.4958400
"IRAS 17326-3324",263.99500,-33.433300,"HD 159378","extreme",0,0,0,1,"--",17.000000,-33.000000,0.0000000,0.0000000,0,"A","O",2016.0000,"O","LUM",2.0010300,"nan",1349.2800,5.0757400e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,3.3160000,0.0036844500,1656.4300,1.8404700
"IRAS 17327-3319",263.99900,-33.361400,"OH 355.16 -0.60","extreme",0,0,0,1,"--",17.000000,-33.000000,0.0000000,0.0000000,0,"D","I",2010.0000,"O","LUM",2.0295000,"nan",13753.100,1.4227800e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,1.6990300,0.0018878100,349.99900,0.38888800
"IRAS 17319-6234",264.15400,-62.599000,"CGCS 6678","extreme",0,0,1,0,"--",17.000000,-62.000000,0.0000000,0.0000000,0,"C","",2005.0000,"O","LUM",0.98150200,"nan",10192.900,1.5381500e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,4.6100500,0.0051222800,1643.2200,1.8258000
"IRAS 17347-3139",264.50500,-31.682800,"PN RPZM 28","extreme",0,0,0,1,"--",17.000000,-31.000000,0.060000000,0.060000000,90,"B","I",2003.0000,"O","LUM",2.4837400,"nan",4819.9300,6.3955400e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,5.2317000,0.0058130000,1418.8000,1.5764400
"IRAS 17360-3012",264.81200,-30.240700,"V* V1019 Sco","extreme",0,0,0,1,"--",17.000000,-30.000000,0.090000000,0.060000000,0,"B","I",2003.0000,"O","LUM",1.0056200,"nan",8774.9900,4.3147000e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,30.505500,0.033895000,5397.0100,5.9966800
"IRAS 17411-3154",266.09500,-31.927600,"V* V1185 Sco","extreme",0,0,0,1,"--",17.000000,-31.000000,0.060000000,0.060000000,90,"B","I",2003.0000,"O","LUM",0.40519400,"nan",6503.4500,8.5700000e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,169.63600,0.18848500,75739.300,84.154800
"IRAS 17417-2904",266.23400,-29.100500,"V* V4763 Sgr","extreme",0,0,0,1,"--",17.000000,-29.000000,0.080000000,0.080000000,45,"B","N",2003.0000,"O","LUM",1.3482500,"nan",1000.0000,2.0391800e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",1,0,2.6358700,0.0029287400,1221.4800,1.3572000
"IRAS 17423-2855",266.37300,-28.936500,"V* V4876 Sgr","extreme",0,0,0,1,"--",17.000000,-28.000000,0.0000000,0.0000000,0,"C","I",2009.0000,"O","LUM",0.60972000,"nan",4472.1400,8.0086200e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",3,0,103.29900,0.11477700,30838.200,34.264600
"IRAS 17427-3010",266.49000,-30.201500,"PN M 1-26","extreme",0,0,0,1,"--",17.000000,-30.000000,0.018000000,0.018000000,90,"B","O",2003.0000,"O","LUM",2.3988700,"nan",2114.7400,2.1181400e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,1.2919400,0.0014354900,403.84300,0.44871400
"IRAS 17441-2411",266.79300,-24.214900,"NAME SILKWORM NEBULA","extreme",1,0,0,0,"--",17.000000,-24.000000,0.070000000,0.060000000,90,"B","I",2003.0000,"O","LUM",1.9060100,"nan",8774.9900,4.8563900e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,3.4726700,0.0038585200,1731.4300,1.9238200
"IRAS 17448-3106",267.01600,-31.118400,"IRAS 17448-3106","extreme",1,0,0,0,"--",17.000000,-31.000000,0.0000000,0.0000000,0,"D","I",2010.0000,"O","LUM",1.7414000,"nan",1000.0000,1.1652400e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0.94877500,0.0010541900,374.09500,0.41566100
"IRAS 17505-3143",268.44400,-31.740600,"OH 358.497 -2.952","extreme",1,0,0,0,"--",17.000000,-31.000000,0.0000000,0.0000000,0,"D","",2004.0000,"O","LUM",2.1835600,"nan",1000.0000,1.4571100e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0.64243700,0.00071381900,311.12900,0.34569900
"IRAS 17538-3728",269.31900,-37.483200,"V* V438 Sco","extreme",1,0,1,0,"--",17.000000,-37.000000,0.0000000,0.0000000,0,"D","O",2003.0000,"O","LUM",2.2420600,"nan",3572.2200,1.6166300e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0.56584100,0.00062871200,334.28600,0.37142900
"IRAS 17565-2035",269.89400,-20.601200,"IRAS 17565-2035","extreme",1,0,0,0,"--",17.000000,-20.000000,0.060000000,0.060000000,90,"B","I",2003.0000,"O","LUM",2.0732500,"nan",1000.0000,1.7478700e-07,"","","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0.96632600,0.0010737000,429.32600,0.47702900
